Conversation.json#dialog
测试物品获得|Test Items Acquired
CH的困境，WO看在眼里，也打从心底想助NI一臂之力。|WO saw CH's predicament and wanted to help NI from the bottom of his heart.
CH为旧主尽忠、为弟兄们拼命的模样，足以见得你是重情重义的真英雄。|The way CH is loyal to his old master and fights for his brothers is enough to show that you are a true hero who values friendship and loyalty.
可WO眼下自身也有难处，麾下兵力单薄，粮草军械仅够支撑自身，实在没法给CH提供安稳的容身之所......|But WO is also facing difficulties of its own. Its troops are few and its food and weapons are barely enough to support itself. It is impossible to provide CH with a safe place to stay...
更谈不上帮CH招兵买马、筹措物资。实在是有心无力，还望CH体谅。|Not to mention helping CH recruit soldiers and raise supplies. I really have no power, and I hope CH will understand.
CH……CH能有这份心意，我SN1MING已然感激。乱世之中，人人都有难处，NI不必自责。能有人懂WO的处境，已是难得。|CH... CH has this kind thought, and I, SN1MING, am already grateful. In troubled times, everyone has their own difficulties, and NI shouldn't blame himself. It's rare for someone to understand WO's situation.
无论如何，感谢CH今日出手相助，若是没有CH，WO可能已是PLACE1NAME城门下的一具死尸了。|Anyway, thanks to CH for helping me today. If it weren't for CH, WO might have been a dead body under the gate of PLACE1NAME.
若是以后有我SN1MING能帮上的忙的地方，CH尽管来找WO。WO定当万死不辞！|If there's anything I, SN1MING, can help you with in the future, CH, feel free to come find me. WO will definitely help you!
感谢CH，CH多保重！|Thank you CH, take care CH!
SN7MING，进来吧。|SN7MING, come in.
先前WO一时糊涂，竟动了让SN7MING充粮的念头，幸得CH及时点醒，才未铸成大错——|WO was confused for a moment and even thought of letting SN7MING fill the food supply. Fortunately, CH woke him up in time and avoided making a big mistake.
如今看着SN7MING还不遗余力帮WO打理日常，WO心里愈发愧疚。|Now, seeing that SN7MING is still making every effort to help WO with his daily life, WO feels more and more guilty.
SN7MING的命是CH救的，WO能从PLACE1NAME撤出，命也是CH给的......|SN7MING's life was saved by CH, and WO's ability to evacuate from PLACE1NAME was also due to CH...
如今WO已加入CH麾下，要是CH能也收留SN7MING，让她在身边做些琐事，也算是WO和她报答CH的一种方式......|Now that WO has joined CH, if CH could also take SN7MING in and let her do some chores around him, it would be a way for WO and her to repay CH...
这样一来，也能稍稍消减WO心中的愧疚。|This way, WO's guilt can be alleviated a little.
SN7MING心细，CH若不嫌弃，往后身边的生活杂事，交给她准没错。还望CH应允。|SN7MING is very considerate. If CH doesn't mind, it would be a good idea to let her handle all the chores in life. I hope CH will agree.
CH的心意我明白，但此事终究要看青禾姑娘的意愿，她若不愿，WO怎能强行收留？|I understand CH's intentions, but this matter ultimately depends on Miss Qinghe's wishes. If she doesn't want to, how can WO force her to take her in?
方才进门前，WO已将此事尽数告知青禾，她心里已有主意，不妨听听她的想法。|Before entering the room, WO had told Qinghe everything about the matter. She already had an idea in her mind, so it would be nice to listen to her thoughts.
WO的性命本就是CH救下的，臧将军既已决定让WO留在CH身边，青禾自当听从安排。|WO's life was saved by CH. Since General Zang has decided to let WO stay with CH, Qinghe should obey the arrangement.
能在乱军中有一席安稳之处，SN7MING已然知足。CH若肯收留WO，今后定会用心服侍CH的日常琐碎。|SN7MING is already content to have a safe place in the chaotic world. If CH is willing to take WO in, he will definitely take care of CH's daily life.
既然如此，那今后CH便与SN1CH一同跟着WO吧。WO也定会护NI安稳。|In that case, CH and SN1CH should follow WO from now on. WO will definitely keep NI safe.
多谢CH！青禾定当铭记这份恩情，好好做事！|Thank you, CH! Qinghe will definitely remember this kindness and do our best!
CH肯收留青禾，也解了我心中一大疙瘩，这份恩情，我SN1MING永世不忘！|CH's willingness to take Qinghe in also resolved a big knot in my heart. I, SN1MING, will never forget this kindness!
CH不必言谢，SN7MING能帮衬日常，对WO也是助力。|There is no need to thank CH. SN7MING can help with daily life and is also a boost to WO.
......（我的雇佣兵数量已满，看来是没法收下她了......）|...(My mercenary quota is full, it seems I can't accept her...)
SN7CH的心意WO心领了，能得NI相助本是幸事。只是WO帐下人手足够，无多余位置可安排......|WO appreciates SN7CH's kindness, and it's a blessing to have NI's help. However, WO has enough staff, so there's no extra room to fill...
此事怕是要辜负CH的心意了，还望CH莫要怪罪。|I'm afraid this matter will disappoint CH's kindness, and I hope CH won't blame me.
能得CH当初出手相救，已是大恩，如今虽不能留在身边效力，但这份恩情WO始终记在心里。|It was a great favor for WO to have CH rescue him in the past. Although he can't stay by his side to serve him now, WO will always remember this kindness in his heart.
WO这里有一块家传的平安玉，据说能保人逢凶化吉，今日便将它赠予CH，聊表谢意，也算报答CH的救命之恩。|WO has a piece of peace jade handed down from generation to generation. It is said that it can turn misfortune into good fortune. Today I will give it to CH as a token of my gratitude and to repay CH for saving my life.
CH这份心意，WO收下了。平安玉WO定会好生保管。|WO accepts CH's kind words. WO will take good care of the peace jade.
SN1MING，城已破，你还不投降？|SN1MING, the city has been broken, why don’t you surrender?
咳、咳——SN1MING我，我为......忠义而战，败亦无憾，绝......绝不降你这背恩忘义之徒。|Cough, cough - SN1MING I, I fight for... loyalty and righteousness, and I have no regrets even if I lose. I will never... never surrender to you, a treacherous man.
死到临头还在嘴硬，既然如此，那便受死！|You are still stubborn even when death is imminent. If that’s the case, then prepare to die!
CH，WO带你冲出去！留得青山在，日后总有机会！|CH, WO will take you out! As long as you have the green mountains, there will always be opportunities in the future!
不必了......起兵为义，今日城破，当以死明志！|No need... We raised the army for justice, and now that the city has been broken, we should die to prove our resolve!
此事本是我SN1MING的事，与CH毫无相干，却甘愿冒险相助，这份恩情，SN1MING只能下辈子报答了！|This matter is originally my, SN1MING's, business and has nothing to do with CH, but he was willing to take the risk to help. SN1MING can only repay this kindness in the next life!
